state,date,variable,value,type,style
Rhode Island,2011-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2011-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2011-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2011-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2010-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2009-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2008-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2007-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2006-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2005-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2004-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2003-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2002-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2001-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2000-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-12-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-11-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-10-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-09-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-08-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-07-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-06-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-05-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-04-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-03-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-02-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,1999-01-01,return_to_seller_handgun,,return_to_seller,handgun
Rhode Island,2021-03-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2021-02-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2021-01-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-12-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2020-11-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-10-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2020-09-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2020-08-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-07-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-06-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-05-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2020-04-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2020-03-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2020-02-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2020-01-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-12-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2019-11-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-10-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-09-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2019-08-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2019-07-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2019-06-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-05-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-04-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2019-03-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2019-02-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2019-01-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2018-12-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2018-11-01,return_to_seller_long_gun,5.0,return_to_seller,long_gun
Rhode Island,2018-10-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2018-09-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2018-08-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2018-07-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2018-06-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2018-05-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2018-04-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2018-03-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2018-02-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2018-01-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2017-12-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2017-11-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2017-10-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2017-09-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2017-08-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2017-07-01,return_to_seller_long_gun,2.0,return_to_seller,long_gun
Rhode Island,2017-06-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2017-05-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2017-04-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2017-03-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2017-02-01,return_to_seller_long_gun,3.0,return_to_seller,long_gun
Rhode Island,2017-01-01,return_to_seller_long_gun,1.0,return_to_seller,long_gun
Rhode Island,2016-12-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-11-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-10-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-09-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-08-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-07-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-06-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-05-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-04-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-03-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-02-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2016-01-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
Rhode Island,2015-12-01,return_to_seller_long_gun,0.0,return_to_seller,long_gun
